gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,trialNum,tangramSet,repNum
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Player,B,B,speaker,1.0,refgame,2.0,page1-128,,,2.0,01KJ1AQCP5N52PP2AC71HY8XH1,44.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEMA6765ECKJ6NX8GGDF2,Player,C,C,listener,1.0,refgame,2.0,page1-128,page1-128,True,2.0,01KJ1AQCP5N52PP2AC71HY8XH1,44.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Player,C,A,speaker,4.0,refgame,2.0,page5-64,,,2.0,01KJ1AQCW66V8B8K1AKN3Q07AM,64.0,1.0,3.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Player,B,A,listener,5.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ1AQD0M8ZAKNFA420SGXCN4,71.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Player,B,B,listener,0.0,refgame,2.0,page9-27,page9-27,True,2.0,01KJ36S9XV30059JQ67YJEA59K,40.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AD4HAYZZ2TP80YYVT6CS2,Player,B,A,listener,1.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJ1AQCP6ZC24JHZBFB8VA4WW,45.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FC5TV0WE77HY2CRQEVK9,Lika,C,C,listener,2.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ36S9S6SWECD4Z6V3EEA3DT,12.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36H4JT5FXT099834BWVZ2X,Player,A,C,listener,5.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ36SA9Y6ZTDR4393GRPWB4Q,67.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Nori,C,C,listener,0.0,refgame,1.0,page5-64,page3-136,False,0.0,01KJ1AQCYDM9Z3ENWEZJTEG8X9,1.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Felu,C,C,listener,0.0,refgame,1.0,page3-136,page3-136,True,2.0,01KJ1AQCY0BPPP7RG1WF2NDF5V,5.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Zuda,B,B,speaker,1.0,refgame,1.0,page3-136,,,2.0,01KJ1AQCNB988AMSV33GFCET1H,10.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Zuda,B,B,listener,5.0,refgame,1.0,page3-136,page3-136,True,2.0,01KJ1AQCZ6WAMYCQYDTSS5BW2G,32.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Player,C,A,listener,0.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ1AQCYQ9FV1QHKDYTHNQX9E,36.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AD4HAYZZ2TP80YYVT6CS2,Player,B,A,listener,4.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJ1AQCW32MBMQ9H3N8SX7NDK,65.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Minu,A,A,speaker,1.0,refgame,1.0,page9-46,,,2.0,01KJ36S9TMHBYSF7C5PXAF9HXW,8.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Player,A,A,listener,0.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJ36S9YBQVDJKD3QQ4SFXB15,39.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HP23RMC93E849APAJY04,Player,B,A,listener,1.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ36S9WMXE213E46DEZKMFAJ,45.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AE4PFRCANQZXY7E9DGC0N,Laju,A,A,listener,0.0,refgame,1.0,page5-64,page5-64,True,2.0,01KJ1AQCYDM9Z3ENWEZJTEG8X9,1.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Felu,C,C,listener,2.0,refgame,1.0,page1-128,page1-128,True,2.0,01KJ1AQCN0E2XEG8C0VD0X79SP,15.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ACD2B6QR45E93SRAYX5VB,Player,B,B,listener,3.0,refgame,2.0,page3-85,page3-85,True,2.0,01KJ1AQCWNGMA39YN43S5AWD7C,57.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Player,C,A,speaker,4.0,refgame,2.0,page3-85,,,2.0,01KJ1AQCW4CN4C3H83RNX182SB,60.0,1.0,3.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ET4XZJSBET24EAAPG563,Hera,B,B,speaker,0.0,refgame,1.0,page3-85,,,1.0,01KJ36S9VEDYHAQX7FAH25GZP5,2.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Zuda,B,B,speaker,1.0,refgame,1.0,page1-128,,,2.0,01KJ36S9PGSRAEBF9WM2S2C5FM,6.0,1.0,2.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Zuda,B,B,listener,3.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ36SA39H4KMPPFTX7V4TW4C,22.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36F4YDX6CZ5RBVN7KN0VFA,Nori,C,C,speaker,5.0,refgame,1.0,page3-85,,,2.0,01KJ36SA1RVM2ENEF79G49SB3R,34.0,1.0,4.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Player,C,A,speaker,4.0,refgame,2.0,page1-128,,,2.0,01KJ1AQCWCR9KXHAHPF35P36J6,61.0,1.0,3.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Nori,C,C,listener,3.0,refgame,1.0,page5-64,page5-64,True,2.0,01KJ1AQD0APYTJP182YNW71GQ4,22.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ET4XZJSBET24EAAPG563,Hera,B,B,listener,2.0,refgame,1.0,page5-64,page3-85,False,0.0,01KJ36SA2ZA50WTYR6WME7BX1Q,15.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FPQT07Q8H1HTHKNR9ZHN,Player,C,A,speaker,1.0,refgame,2.0,page5-64,,,2.0,01KJ36S9WMXE213E46DEZKMFAJ,45.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36F4YDX6CZ5RBVN7KN0VFA,Player,C,C,speaker,2.0,refgame,2.0,page3-85,,,2.0,01KJ36SA664JSKRGFG19D7G6CF,53.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ET4XZJSBET24EAAPG563,Hera,B,B,listener,5.0,refgame,1.0,page3-136,page3-136,True,2.0,01KJ36SA2HQ6BM8234ENRDTZ53,31.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Player,A,B,listener,3.0,refgame,2.0,page9-46,page1-128,False,0.0,01KJ36SA5CFGJ0EMFDKZAWQQAD,57.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,B,B,speaker,0.0,refgame,1.0,page9-27,,,2.0,01KJ1AQCKV9YXFGTVMPN9S8RP1,0.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,B,B,speaker,0.0,refgame,1.0,page9-46,,,1.0,01KJ1AQCY7BFCZBK3JXDP3P6CH,3.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZVZREV8CZAR4J758GGY,Repi,A,A,speaker,3.0,refgame,1.0,page9-27,,,2.0,01KJ1AQD0JTY8Z71102CWN9N9B,19.0,1.0,4.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZVZREV8CZAR4J758GGY,Player,A,A,listener,2.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJ1AQCYFRV4DJJEDQW0MXYE9,50.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36H4JT5FXT099834BWVZ2X,Repi,A,A,speaker,0.0,refgame,1.0,page9-27,,,2.0,01KJ36S9VQXJFGQAW4JCM7PKX1,1.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Minu,A,A,speaker,4.0,refgame,1.0,page9-27,,,2.0,01KJ36S9WYWVGR3FDHFFW65KBJ,29.0,1.0,3.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Player,B,B,listener,0.0,refgame,2.0,page1-128,page1-128,True,2.0,01KJ36S9Z2HH6HJST21E4D4KGZ,36.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FPQT07Q8H1HTHKNR9ZHN,Player,C,C,listener,2.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ36SA5ZHSV8930WX1PR6CAR,52.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AH433HDWM46XC8PJAA0A7,Minu,A,A,speaker,1.0,refgame,1.0,page9-27,,,2.0,01KJ1AQCXXF4RNBACZJT6NJBQ4,6.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADF5M161B12EA40N9T0MS,Felu,C,C,speaker,4.0,refgame,1.0,page3-85,,,2.0,01KJ1AQCZRSQA59FDNP6982XXA,27.0,1.0,4.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36H4JT5FXT099834BWVZ2X,Repi,A,A,listener,1.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ36S9TMHBYSF7C5PXAF9HXW,8.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Zuda,B,B,speaker,1.0,refgame,1.0,page9-27,,,2.0,01KJ36S9T2S39HVNGH39N87KWF,10.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HP23RMC93E849APAJY04,Player,B,C,listener,0.0,refgame,2.0,page9-46,,False,0.0,01KJ36S9YBQVDJKD3QQ4SFXB15,39.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Hera,B,B,listener,1.0,refgame,1.0,page9-27,page9-27,True,2.0,01KJ1AQCXXF4RNBACZJT6NJBQ4,6.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEMA6765ECKJ6NX8GGDF2,Lika,C,C,listener,4.0,refgame,1.0,page1-128,page1-128,True,2.0,01KJ1AQCZP27EAWYZEDFBX0F1G,28.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ET4XZJSBET24EAAPG563,Hera,B,B,listener,1.0,refgame,1.0,page5-64,page5-64,True,2.0,01KJ36S9VYSBE4WZYFZAA4R0AY,7.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Player,A,C,listener,1.0,refgame,2.0,page3-85,page3-85,True,2.0,01KJ36S9W30MP96XF0159KS1S3,46.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36F4YDX6CZ5RBVN7KN0VFA,Player,C,A,listener,4.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJ36SAC9S274THH6T2TN2BKH,63.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FC5TV0WE77HY2CRQEVK9,Lika,C,C,listener,1.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJ36S9TMHBYSF7C5PXAF9HXW,8.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FPQT07Q8H1HTHKNR9ZHN,Felu,C,C,speaker,1.0,refgame,1.0,page9-27,,,2.0,01KJ36S9T2S39HVNGH39N87KWF,10.0,1.0,1.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Player,A,C,listener,1.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ36S9WMXE213E46DEZKMFAJ,45.0,1.0,
