gameId,playerId,originalGroup,target,blockNum,phase,phaseNum,repNum,simAdjacent
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,0.0,refgame,1.0,2.0,0.6989703178405762
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,3.0,refgame,2.0,4.0,0.5047267079353333
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page7-255,3.0,refgame,1.0,3.0,0.6245995759963989
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,0.0,refgame,1.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,0.0,refgame,2.0,1.0,0.8340423107147217
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,3.0,refgame,1.0,3.0,0.9056211709976196
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page9-46,3.0,refgame,2.0,4.0,0.8883917927742004
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page-B,2.0,refgame,1.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page-B,5.0,refgame,1.0,3.0,0.786222517490387
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page-B,5.0,refgame,2.0,4.0,1.0
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,2.0,refgame,2.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,2.0,refgame,1.0,1.0,1.0000001192092896
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,5.0,refgame,1.0,3.0,1.0000001192092896
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,5.0,refgame,2.0,4.0,1.0000001192092896
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,2.0,refgame,2.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,2.0,refgame,1.0,2.0,0.4516707956790924
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,5.0,refgame,1.0,4.0,0.5422512292861938
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,5.0,refgame,2.0,3.0,0.2158895581960678
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-107,2.0,refgame,1.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-107,2.0,refgame,2.0,1.0,0.9178651571273804
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-107,5.0,refgame,1.0,3.0,0.9178651571273804
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-107,5.0,refgame,2.0,4.0,0.8334113359451294
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,2.0,refgame,1.0,1.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,2.0,refgame,2.0,2.0,0.6905755400657654
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,5.0,refgame,1.0,4.0,1.000000238418579
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,5.0,refgame,2.0,3.0,1.000000238418579
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page9-46,2.0,refgame,1.0,2.0,
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page9-46,2.0,refgame,2.0,1.0,0.793552577495575
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page9-46,5.0,refgame,1.0,3.0,0.8324376344680786
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page9-46,5.0,refgame,2.0,4.0,0.8150920867919922
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page-B,2.0,refgame,1.0,1.0,
