gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,window,metric
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79ZDP3YNFFHHQA302PJDP,A,C,0,0.23265257477760315,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN788SPAKVVBHX9T9FDQWAF,A,B,0,0.1716291308403015,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,0.9856859445571899,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.22901952266693115,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN78B0TFR8F59JDGD057XNS,A,A,1,0.9178156852722168,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.20933468639850616,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN78JVY5FN5QXW9XGGE72RG,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.21574974060058594,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN79ZDP3YNFFHHQA302PJDP,01KJN788SPAKVVBHX9T9FDQWAF,C,B,0,0.7324374914169312,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN79ZDP3YNFFHHQA302PJDP,01KJN791EPN054R2NTQQ1BFXJ5,C,A,0,0.21670909225940704,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN79ZDP3YNFFHHQA302PJDP,01KJN796KT7FCNV2F9QNCQDSES,C,C,1,0.8798203468322754,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN79ZDP3YNFFHHQA302PJDP,01KJN78B0TFR8F59JDGD057XNS,C,A,0,0.22993731498718262,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page5-28,01KJN79ZDP3YNFFHHQA302PJDP,01KJN78M7563R5D9TQE5G142DA,C,C,1,0.6931424140930176,phase1_final,first_phrase
