gameId,playerId,originalGroup,target,blockNum,sourceGroup,nSourceTerms,nBorrowed,borrowingRate,condition
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page-B,5,B,1,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page-B,5,C,5,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,5,A,2,1,0.5,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page5-28,5,C,4,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page5-28,5,B,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page5-28,5,C,4,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,5,A,1,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page3-35,5,C,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page3-35,5,B,1,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page3-35,5,C,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,5,A,5,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78CQJ3KY7VMGAR6F3D4S0,B,page7-255,5,C,4,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,5,B,1,1,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,A,page7-255,5,C,4,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page5-28,1,A,2,2,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page5-28,1,C,4,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page5-28,1,B,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page5-28,1,C,4,1,0.25,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page9-46,1,A,1,1,1.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,B,page9-46,1,C,7,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,1,B,3,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN791EPN054R2NTQQ1BFXJ5,A,page9-46,1,C,7,1,0.14285714285714285,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page-B,0,B,1,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN78B0TFR8F59JDGD057XNS,A,page-B,0,C,5,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,page-B,0,A,2,0,0.0,refer_mixed
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,page-B,0,C,5,0,0.0,refer_mixed
