gameId,target,blockNum,playerId,originalGroup,dominantTermSource,totalSpecificTermsUsed,usesOwnGroupTerms,condition,nTermsFromA,nTermsFromB,nTermsFromC
01KJN6MMPQTMDYRN709968YFN1,page7-107,5,01KJN78JVY5FN5QXW9XGGE72RG,A,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page5-28,4,01KJN788SPAKVVBHX9T9FDQWAF,B,A,2,0,refer_mixed,2,0,0
01KJN6MMPQTMDYRN709968YFN1,page5-28,4,01KJN791EPN054R2NTQQ1BFXJ5,A,A,2,1,refer_mixed,2,0,0
01KJN6MMPQTMDYRN709968YFN1,page9-46,5,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page9-46,5,01KJN78JVY5FN5QXW9XGGE72RG,A,A,1,1,refer_mixed,1,0,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,1,01KJN791EPN054R2NTQQ1BFXJ5,A,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page9-46,4,01KJN788SPAKVVBHX9T9FDQWAF,B,B,3,1,refer_mixed,1,2,0
01KJN6MMPQTMDYRN709968YFN1,page9-46,4,01KJN791EPN054R2NTQQ1BFXJ5,A,A,1,1,refer_mixed,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,1,01KJN77XQHYQ5TVVY4HZM02E7R,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,1,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,1,01KJN7AAWT4GWKRZ7B9775509P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,1,01KJN77XQHYQ5TVVY4HZM02E7R,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,1,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,1,01KJN7AAWT4GWKRZ7B9775509P,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,1,01KJN77XQHYQ5TVVY4HZM02E7R,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,1,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,1,01KJN7AAWT4GWKRZ7B9775509P,B,B,3,1,refer_separated,0,3,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,2,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,2,01KJN7B32C1C5254NSG6ZK1GRK,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,2,01KJN7BYA5X3A2G30KZECRY2HY,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,0,01KJN79PCAAMFX7P2QF70Y3HJM,A,none,0,0,refer_separated,0,0,0
