gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,lateClick,clickedAt,tangramSelectedAt,selectionRenderedAt,socialGuessSelectedAt,selectionRt,socialGuessRt,timeout,lateSocialGuess,trialNum,reshuffleMode,tangramSet,selectionStartedAt,selectionEndedAt,selectionDurationMs,repNum,speakerId,inGroupSpeaker,groupSize,speakerReassigned,hasSpeakerMessage,responseOpportunity,serverSpeakerId,serverInGroupListener,serverGroupSize,reshuffleGroups,reshuffleTrios,reshuffleTriosOk,reshufflePairs,excluded,exclusionReason
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,Player,B,B,listener,3.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJN7K5KSEZZTN34AR4PS7YC7,False,,,,,,,False,False,58.0,,0.0,1772388828490,1772388848484,19994,,01KJN78B0TFR8F59JDGD057XNS,False,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,Player,C,B,listener,3.0,refgame,2.0,page9-46,page5-63,False,0.0,01KJN7JJ1E3ET2MMDFS57Q4ATE,False,,,,,,,False,False,55.0,,0.0,1772388904023,1772388924052,20029,,01KJN7C40WEQBDF48ACG18M0EV,False,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN788SPAKVVBHX9T9FDQWAF,Player,B,B,listener,5.0,refgame,2.0,page7-255,page7-255,True,2.0,01KJN7K5QNDHCB49S4Q90QXRYG,False,,,,,,,False,False,67.0,,0.0,1772389025099,1772389044573,19474,,01KJN78CQJ3KY7VMGAR6F3D4S0,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN77XQHYQ5TVVY4HZM02E7R,Felu,C,C,listener,2.0,refgame,1.0,page7-107,page7-107,True,2.0,01KJN7KZ3TKA2G2034PKAJD3VQ,False,,,,,,,False,False,12.0,,0.0,1772387278345,1772387311206,32861,,01KJN7931DXZ65NXTWK1GNEZMW,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,Hera,B,B,listener,4.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJN7K5KN8YW9VWX8RYNB7E0N,False,,,,,,,False,False,28.0,,0.0,1772388000797,1772388041511,40714,,01KJN788SPAKVVBHX9T9FDQWAF,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79J529BWBWTESKB6D9MB7,Player,C,A,speaker,0.0,refgame,2.0,page-B,,,2.0,01KJN7JJ1CYQGSSJG1WBPKBVA9,False,,,,,,,False,False,36.0,,0.0,1772388356520,1772388376546,20026,1.0,01KJN79J529BWBWTESKB6D9MB7,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,Zuda,B,B,listener,2.0,refgame,1.0,page7-107,page7-107,True,2.0,01KJN7KZ3TKA2G2034PKAJD3VQ,False,,,,,,,False,False,12.0,,0.0,1772387278345,1772387311206,32861,,01KJN7BYA5X3A2G30KZECRY2HY,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7B32C1C5254NSG6ZK1GRK,Laju,A,A,listener,4.0,refgame,2.0,page5-28,page5-28,True,2.0,01KJN7KZ5A7Y4CEP43YBWJ659J,False,,,,,,,False,False,64.0,,0.0,1772388504343,1772388518698,14355,,01KJN79ZRTRDMY6RH8ZCYCM9NV,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,Player,B,A,listener,1.0,refgame,2.0,page5-28,page7-26,False,0.0,01KJN7JJ16T4F6S4PFHQFRAY28,False,,,,,,,False,False,44.0,,0.0,1772388584626,1772388604653,20027,,01KJN792W85XPK9QGH8A6HSYSJ,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,Player,A,B,listener,5.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJN7JJ4B103R31J8V9CH41TX,False,,,,,,,False,False,71.0,,0.0,1772389316097,1772389335665,19568,,01KJN78DQ6KC0F9N1HA0BPB44R,False,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN79ZRTRDMY6RH8ZCYCM9NV,Minu,A,A,speaker,1.0,refgame,1.0,page-B,,,2.0,01KJN7KZ4KY8QNP8EKAKX2FFGX,False,,,,,,,False,False,8.0,,0.0,1772387071924,1772387116592,44668,1.0,01KJN79ZRTRDMY6RH8ZCYCM9NV,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN79Y7T0VZNKHTSJRZWTDZ5,Hera,B,B,listener,1.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJN7K5HZEKT6FNAA9GWA4F02,False,,,,,,,False,False,9.0,,0.0,1772387125823,1772387165178,39355,,01KJN788SPAKVVBHX9T9FDQWAF,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,Nori,C,C,listener,1.0,refgame,1.0,page-B,page-B,True,2.0,01KJN7JJ0T9TQHTQBPKBZMWPWF,False,,,,,,,False,False,10.0,,0.0,1772387149191,1772387184311,35120,,01KJN7863BFF3ZYZGVVSATZTH7,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN79B14FBSYSKKCG2BYVBB6,Repi,A,A,listener,1.0,refgame,1.0,page5-28,page5-28,True,2.0,01KJN7JHZNKNR7P7NGWFBFRP56,False,,,,,,,False,False,8.0,,0.0,1772387040356,1772387085361,45005,,01KJN7AAX1VHZ1A7ZB35BNRH8N,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7BYA5X3A2G30KZECRY2HY,Bavi,B,B,listener,4.0,refgame,2.0,page-B,page-B,True,2.0,01KJN7KYZJSMEX4580M0EBGRRX,False,,,,,,,False,False,60.0,,0.0,1772388433928,1772388447118,13190,,01KJN7AAWT4GWKRZ7B9775509P,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN7A44GGBE9XR412KV5BFSC,Bavi,B,B,listener,0.0,refgame,1.0,page-B,page4-15,False,0.0,01KJN7JHZG39B3YEBM7VHA554N,False,,,,,,,False,False,4.0,,0.0,1772386841560,1772386883546,41986,,01KJN7C40WEQBDF48ACG18M0EV,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709968YFN1,01KJN78JVY5FN5QXW9XGGE72RG,Laju,A,A,listener,0.0,refgame,1.0,page9-46,page9-46,True,2.0,01KJN7K5HM3GRXQJ2R4WDZ9A25,False,,,,,,,False,False,5.0,,0.0,1772386918334,1772386963323,44989,,01KJN78B0TFR8F59JDGD057XNS,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN792W85XPK9QGH8A6HSYSJ,Zuda,B,B,listener,2.0,refgame,1.0,page-B,page4-15,False,0.0,01KJN7JJ0S1X2V7QFWX9C1FNPF,False,,,,,,,False,False,17.0,,0.0,1772387448618,1772387484496,35878,,01KJN7A44GGBE9XR412KV5BFSC,True,3,False,True,True,,,,,,,,False,
01KJN6MMQ03KZPZN0275VZXK6R,01KJN78DQ6KC0F9N1HA0BPB44R,Nori,C,C,listener,4.0,refgame,1.0,page-B,page-B,True,2.0,01KJN7JJ1T0XBC815C25NRSF57,False,,,,,,,False,False,29.0,,0.0,1772388018523,1772388063879,45356,,01KJN7863BFF3ZYZGVVSATZTH7,True,3,False,True,True,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7B4V2673GK7HGVSG52R2P,Hera,B,B,speaker,0.0,refgame,1.0,page3-35,,,2.0,01KJN7KYVMH6VJC6N59GV39RY1,False,,,,,,,False,False,1.0,,0.0,1772386711287,1772386756289,45002,1.0,01KJN7B4V2673GK7HGVSG52R2P,,3,False,True,False,,,,,,,,False,
01KJN6MMPQTMDYRN709DP5DSDA,01KJN7AAWT4GWKRZ7B9775509P,Zuda,B,B,speaker,1.0,refgame,1.0,page-B,,,1.0,01KJN7KZ4KY8QNP8EKAKX2FFGX,False,,,,,,,False,False,8.0,,0.0,1772387071924,1772387116592,44668,1.0,01KJN7AAWT4GWKRZ7B9775509P,,3,False,True,False,,,,,,,,False,
