gameId,roundId,blockNum,phase,phaseNum,target,group,senderId,senderName,senderRole,text,timestamp,trialNum,tangramSet
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAJJ6FAGMTSETZNHFNY,4.0,refgame,1.0,page3-35,A,01KJP2RBVR6E36EKC8HYRAV5GF,Laju,listener,With a diamond?,1772417268813,29.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAJJ6FAGMTSETZNHFNY,4.0,refgame,1.0,page3-35,A,01KJP2RBVR6E36EKC8HYRAV5GF,Laju,listener,Or big big diamond head?,1772417274399,29.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAJJ6FAGMTSETZNHFNY,4.0,refgame,1.0,page3-35,C,01KJP2SNNP4ZB6K1QMGZX5CC0T,Lika,listener,Felu is AI lol,1772417280501,29.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7F82DKW77,0.0,refgame,2.0,page7-107,C,01KJP2Q4FMMNPG4DTS771Y4V70,Player,speaker,Fireball with diamond in middle,1772417632120,37.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7F82DKW77,0.0,refgame,2.0,page7-107,B,01KJP2RH1QNE571FNJRJ0ZHM7W,Player,speaker,asteroid going right,1772417634401,37.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7F82DKW77,0.0,refgame,2.0,page7-107,A,01KJP2SNNP4ZB6K1QMGZX5CC0T,Player,speaker,Jason here says that it is a bird head shape with a diamond hole in the middle,1772417642396,37.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7G6PBW0XK,5.0,refgame,2.0,page5-28,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Whale,1772418740023,71.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7G6PBW0XK,5.0,refgame,2.0,page5-28,C,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,muffler,1772418741397,71.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7G6PBW0XK,5.0,refgame,2.0,page5-28,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Or cig i heard another say,1772418744274,71.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAKBY4EQ2P7G6PBW0XK,5.0,refgame,2.0,page5-28,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,Sideways muffler - N,1772418744549,71.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAMAX1FJ6WS8R3SAA33,5.0,refgame,2.0,page9-46,C,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,staple remover,1772418707058,70.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAMAX1FJ6WS8R3SAA33,5.0,refgame,2.0,page9-46,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Topless pyramid,1772418707985,70.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMAMAX1FJ6WS8R3SAA33,5.0,refgame,2.0,page9-46,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,pYramid with rectangle cut out the middle - n,1772418715416,70.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMANPM1WF7S7TT86YKYC,5.0,refgame,2.0,page3-35,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,tall birdhouse - N,1772418680099,69.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMANPM1WF7S7TT86YKYC,5.0,refgame,2.0,page3-35,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Royal Chalice,1772418680202,69.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMANPM1WF7S7TT86YKYC,5.0,refgame,2.0,page3-35,C,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,smaller triangle head,1772418683930,69.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMANPM1WF7S7TT86YKYC,5.0,refgame,2.0,page3-35,B,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,with square on top,1772418686019,69.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMANPM1WF7S7TT86YKYC,5.0,refgame,2.0,page3-35,A,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Or chess piece I heard one say,1772418686148,69.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBEY573MQS1TAMZDBC6,0.0,refgame,1.0,page3-35,A,01KJP2RBVR6E36EKC8HYRAV5GF,Laju,listener,Give me somethin this time repi,1772415898399,2.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBEY573MQS1TAMZDBC6,0.0,refgame,1.0,page3-35,A,01KJP2Q4FMMNPG4DTS771Y4V70,Repi,speaker,House at the top,1772415905080,2.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBEY573MQS1TAMZDBC6,0.0,refgame,1.0,page3-35,C,01KJP2SNNP4ZB6K1QMGZX5CC0T,Lika,speaker,Jason here.  Look for the one that looks liek a tall birdhouse on a stand.,1772415907500,2.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBEY573MQS1TAMZDBC6,0.0,refgame,1.0,page3-35,A,01KJP2Q4FMMNPG4DTS771Y4V70,Repi,speaker,And like a lamp almost?,1772415911007,2.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBEY573MQS1TAMZDBC6,0.0,refgame,1.0,page3-35,B,01KJP2RH1QNE571FNJRJ0ZHM7W,Hera,speaker,an award or kind of like a helmet,1772415921560,2.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBFNTBZF2KSY334MWHD,4.0,refgame,2.0,page3-35,C,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,chess piece,1772418441148,61.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBFNTBZF2KSY334MWHD,4.0,refgame,2.0,page3-35,A,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,tall birdhouse,1772418441661,61.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBFNTBZF2KSY334MWHD,4.0,refgame,2.0,page3-35,B,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,smaller diamond head,1772418449793,61.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBFNTBZF2KSY334MWHD,4.0,refgame,2.0,page3-35,B,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,mermaid looking bottom,1772418455344,61.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBGR1HCV8WZ77VGDR39,5.0,refgame,2.0,page7-255,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Rooster,1772418621233,67.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBGR1HCV8WZ77VGDR39,5.0,refgame,2.0,page7-255,A,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,Bunny Wabbit - N,1772418625792,67.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBGR1HCV8WZ77VGDR39,5.0,refgame,2.0,page7-255,C,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,hooded dude jumping right,1772418626438,67.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBHX9HPW6E4YX45KJW2,5.0,refgame,2.0,page-B,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,speaker,Prayer,1772418586042,66.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBHX9HPW6E4YX45KJW2,5.0,refgame,2.0,page-B,A,01KJP2Q9Z7MR3VPYE4MH3SC9C8,Player,speaker,square and triangle falling - N,1772418598235,66.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBHX9HPW6E4YX45KJW2,5.0,refgame,2.0,page-B,C,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,top is square and triangle falling off. bottom is like a vase,1772418602297,66.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2RW2QY71K,4.0,refgame,2.0,page7-107,C,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,asteroid,1772418561960,65.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2RW2QY71K,4.0,refgame,2.0,page7-107,B,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,fireball w diamond middle,1772418564655,65.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2RW2QY71K,4.0,refgame,2.0,page7-107,A,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,missing white diamond out of the center,1772418565656,65.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2SWHN128N,4.0,refgame,2.0,page7-255,A,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,rabbit,1772418529792,64.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2SWHN128N,4.0,refgame,2.0,page7-255,C,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,hood dude,1772418532848,64.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2SWHN128N,4.0,refgame,2.0,page7-255,B,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,bird flying towards the right,1772418534819,64.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2SWHN128N,4.0,refgame,2.0,page7-255,B,01KJP2RBVR6E36EKC8HYRAV5GF,Player,listener,Looks like a rooster?,1772418543881,64.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2SWHN128N,4.0,refgame,2.0,page7-255,B,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,sure lol,1772418547273,64.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2TXXQ87BN,4.0,refgame,2.0,page9-46,A,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,stapler remover,1772418502732,63.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2TXXQ87BN,4.0,refgame,2.0,page9-46,B,01KJP2RVD8SK7AN1X5EMGRM458,Player,speaker,big mouth left topless pyramid,1772418503558,63.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBJ6PGF7BT2TXXQ87BN,4.0,refgame,2.0,page9-46,C,01KJP2SDQCR0935BS4E06A6D2G,Player,speaker,pyramid with the rectangle cut out in the middle,1772418507428,63.0,0.0
01KJP22PXRH9VYFY7Z1HZVNSMN,01KJP3CMBKFK80J9EKRNSR927F,4.0,refgame,2.0,page5-28,C,01KJP2SGRYQPGESDGRKTMMAJX4,Player,speaker,whale,1772418475296,62.0,0.0
